epoch	utc	rss_kb	rss_gib
1782563485	12:31:25	464	0.000
1782563488	12:31:28	18560	0.018
1782563491	12:31:31	18560	0.018
1782563494	12:31:34	18560	0.018
1782563497	12:31:37	18576	0.018
1782563500	12:31:40	18864	0.018
1782563503	12:31:43	19408	0.019
1782563506	12:31:46	19504	0.019
1782563509	12:31:49	19600	0.019
1782563512	12:31:52	20288	0.019
1782563516	12:31:56	20400	0.019
1782563519	12:31:59	21168	0.020
1782563522	12:32:02	21472	0.020
1782563525	12:32:05	21472	0.020
1782563528	12:32:08	1577152	1.504
1782563531	12:32:11	4391520	4.188
1782563534	12:32:14	5864912	5.593
1782563537	12:32:17	6175904	5.890
1782563540	12:32:20	6348368	6.054
1782563543	12:32:23	10346672	9.867
1782563546	12:32:26	9124592	8.702
1782563550	12:32:30	5157344	4.918
1782563553	12:32:33	4974496	4.744
1782563556	12:32:36	5208528	4.967
1782563559	12:32:39	5165200	4.926
1782563562	12:32:42	4998656	4.767
1782563565	12:32:45	4845936	4.621
1782563569	12:32:49	4832528	4.609
1782563572	12:32:52	4832192	4.608
1782563575	12:32:55	4768320	4.547
1782563578	12:32:58	4937072	4.708
1782563581	12:33:01	4783840	4.562
1782563584	12:33:04	4611712	4.398
1782563588	12:33:08	4537328	4.327
1782563591	12:33:11	4845472	4.621
1782563594	12:33:14	5142976	4.905
1782563597	12:33:17	4052416	3.865
1782563600	12:33:20	3948432	3.766
1782563603	12:33:23	4254688	4.058
1782563606	12:33:26	4622032	4.408
1782563609	12:33:29	5258528	5.015
1782563612	12:33:32	6101376	5.819
1782563615	12:33:35	4656464	4.441
1782563618	12:33:38	2934784	2.799
1782563621	12:33:41	6888864	6.570
1782563625	12:33:45	10360096	9.880
1782563628	12:33:48	6715408	6.404
1782563631	12:33:51	3990016	3.805
1782563634	12:33:54	10210224	9.737
1782563637	12:33:57	10366896	9.887
1782563640	12:34:00	10990448	10.481
1782563643	12:34:03	11226752	10.707
1782563647	12:34:07	9721264	9.271
1782563650	12:34:10	3913136	3.732
1782563653	12:34:13	4684352	4.467
1782563657	12:34:17	4770960	4.550
1782563660	12:34:20	6999760	6.675
1782563663	12:34:23	4763840	4.543
1782563666	12:34:26	4428912	4.224
1782563669	12:34:29	3580256	3.414
1782563672	12:34:32	8710672	8.307
1782563676	12:34:36	8955424	8.541
1782563679	12:34:39	3993120	3.808
1782563682	12:34:42	10950176	10.443
1782563685	12:34:45	13110448	12.503
1782563688	12:34:48	8916160	8.503
1782563691	12:34:51	12234784	11.668
1782563694	12:34:54	14430064	13.762
1782563698	12:34:58	6454320	6.155
1782563701	12:35:01	8844112	8.434
1782563704	12:35:04	9024496	8.606
1782563707	12:35:07	7594288	7.242
1782563710	12:35:10	8231520	7.850
1782563713	12:35:13	15949568	15.211
1782563716	12:35:16	14362208	13.697
1782563719	12:35:19	7861024	7.497
1782563723	12:35:23	16491392	15.727
1782563726	12:35:26	6312128	6.020
1782563729	12:35:29	5444352	5.192
1782563732	12:35:32	6218080	5.930
1782563735	12:35:35	7111248	6.782
1782563738	12:35:38	5306992	5.061
1782563742	12:35:42	5495264	5.241
1782563745	12:35:45	5198208	4.957
1782563748	12:35:48	5243936	5.001
1782563751	12:35:51	5186656	4.946
1782563754	12:35:54	5222048	4.980
1782563757	12:35:57	5176848	4.937
1782563761	12:36:01	4910800	4.683
1782563764	12:36:04	5299504	5.054
1782563767	12:36:07	5519424	5.264
1782563770	12:36:10	5306592	5.061
1782563773	12:36:13	5271328	5.027
1782563776	12:36:16	5694432	5.431
1782563779	12:36:19	6657856	6.349
1782563782	12:36:22	2630384	2.509
1782563785	12:36:25	6548288	6.245
1782563788	12:36:28	7563840	7.213
1782563791	12:36:31	1686288	1.608
1782563794	12:36:34	5200784	4.960
1782563797	12:36:37	10560000	10.071
1782563800	12:36:40	10574896	10.085
1782563803	12:36:43	7105168	6.776
1782563807	12:36:47	12533296	11.953
1782563810	12:36:50	16272224	15.518
1782563813	12:36:53	10499552	10.013
1782563817	12:36:57	4472096	4.265
1782563820	12:37:00	8295360	7.911
1782563823	12:37:03	4721296	4.503
1782563826	12:37:06	11364480	10.838
1782563830	12:37:10	11229856	10.710
1782563833	12:37:13	9492032	9.052
1782563836	12:37:16	7692160	7.336
1782563840	12:37:20	5409248	5.159
1782563843	12:37:23	11272192	10.750
1782563846	12:37:26	9498240	9.058
1782563849	12:37:29	4094992	3.905
1782563852	12:37:32	4755920	4.536
1782563855	12:37:35	6450704	6.152
1782563858	12:37:38	8496816	8.103
1782563861	12:37:41	9079680	8.659
1782563865	12:37:45	7387856	7.046
1782563868	12:37:48	12976096	12.375
1782563871	12:37:51	7969808	7.601
1782563874	12:37:54	10418160	9.936
1782563877	12:37:57	15936752	15.198
1782563880	12:38:00	6552672	6.249
1782563883	12:38:03	5371632	5.123
1782563886	12:38:06	5603984	5.344
1782563889	12:38:09	6974848	6.652
1782563893	12:38:13	7766848	7.407
1782563896	12:38:16	4953456	4.724
1782563899	12:38:19	5108768	4.872
1782563902	12:38:22	6192784	5.906
1782563905	12:38:25	7234896	6.900
1782563908	12:38:28	4625920	4.412
1782563911	12:38:31	4928000	4.700
1782563914	12:38:34	4640672	4.426
1782563918	12:38:38	5186416	4.946
1782563921	12:38:41	4418032	4.213
1782563924	12:38:44	5325856	5.079
1782563927	12:38:47	5332864	5.086
1782563930	12:38:50	5563216	5.305
1782563933	12:38:53	4923904	4.696
1782563936	12:38:56	6025328	5.746
1782563939	12:38:59	4817024	4.594
1782563942	12:39:02	4064992	3.877
1782563945	12:39:05	9039312	8.621
1782563948	12:39:08	10865936	10.363
1782563951	12:39:11	3136064	2.991
1782563954	12:39:14	4295744	4.097
1782563958	12:39:18	10403744	9.922
1782563961	12:39:21	10405344	9.923
1782563964	12:39:24	11386928	10.859
1782563967	12:39:27	11619376	11.081
1782563971	12:39:31	6357328	6.063
1782563974	12:39:34	4320624	4.120
1782563977	12:39:37	4626144	4.412
1782563980	12:39:40	4940528	4.712
1782563983	12:39:43	4411808	4.207
1782563987	12:39:47	4582368	4.370
1782563990	12:39:50	4590368	4.378
1782563993	12:39:53	4637232	4.422
1782563997	12:39:57	3379744	3.223
1782564000	12:40:00	4447456	4.241
1782564003	12:40:03	4518288	4.309
1782564006	12:40:06	4479200	4.272
1782564009	12:40:09	6335856	6.042
1782564012	12:40:12	4660592	4.445
1782564016	12:40:16	4579888	4.368
1782564019	12:40:19	4396720	4.193
1782564022	12:40:22	14029344	13.379
1782564025	12:40:25	8722480	8.318
1782564028	12:40:28	10452432	9.968
1782564031	12:40:31	12945120	12.345
1782564034	12:40:34	6079984	5.798
1782564037	12:40:37	7675552	7.320
1782564040	12:40:40	8842848	8.433
1782564043	12:40:43	10713504	10.217
1782564046	12:40:46	6736992	6.425
1782564050	12:40:50	10435744	9.952
1782564053	12:40:53	14032608	13.383
1782564056	12:40:56	8859888	8.449
1782564059	12:40:59	9561632	9.119
1782564062	12:41:02	14528240	13.855
1782564065	12:41:05	14903152	14.213
1782564068	12:41:08	7127264	6.797
1782564071	12:41:11	5041264	4.808
1782564075	12:41:15	5246352	5.003
1782564078	12:41:18	4984528	4.754
1782564081	12:41:21	4814208	4.591
1782564084	12:41:24	6128096	5.844
1782564088	12:41:28	7403216	7.060
1782564091	12:41:31	5176480	4.937
1782564094	12:41:34	5211728	4.970
1782564097	12:41:37	5174800	4.935
1782564100	12:41:40	5150352	4.912
1782564103	12:41:43	5147504	4.909
1782564106	12:41:46	4853136	4.628
1782564109	12:41:49	4816528	4.593
1782564112	12:41:52	4977760	4.747
1782564116	12:41:56	4729712	4.511
1782564119	12:41:59	4952048	4.723
1782564122	12:42:02	5055152	4.821
1782564125	12:42:05	4864048	4.639
1782564128	12:42:08	5137856	4.900
1782564131	12:42:11	4741248	4.522
1782564135	12:42:15	3499712	3.338
1782564138	12:42:18	3566800	3.402
1782564141	12:42:21	2143296	2.044
1782564144	12:42:24	10681376	10.187
1782564147	12:42:27	3000128	2.861
1782564150	12:42:30	7347968	7.008
1782564153	12:42:33	10735136	10.238
1782564156	12:42:36	11343584	10.818
1782564159	12:42:39	11475200	10.944
1782564163	12:42:43	9766432	9.314
1782564166	12:42:46	4257152	4.060
1782564169	12:42:49	4636464	4.422
1782564173	12:42:53	4757120	4.537
1782564176	12:42:56	3172048	3.025
1782564179	12:42:59	4743104	4.523
1782564182	12:43:02	6686192	6.376
1782564186	12:43:06	3729088	3.556
1782564189	12:43:09	7166448	6.834
1782564192	12:43:12	4975056	4.745
1782564196	12:43:16	6070128	5.789
1782564199	12:43:19	5166432	4.927
1782564202	12:43:22	4631888	4.417
1782564206	12:43:26	9708368	9.259
1782564209	12:43:29	15176064	14.473
1782564212	12:43:32	15836512	15.103
1782564215	12:43:35	13676864	13.043
1782564218	12:43:38	12828192	12.234
1782564221	12:43:41	6186016	5.899
1782564224	12:43:44	6464288	6.165
1782564227	12:43:47	8747952	8.343
1782564230	12:43:50	10576672	10.087
1782564233	12:43:53	6757344	6.444
1782564236	12:43:56	9693984	9.245
1782564240	12:44:00	16724672	15.950
1782564243	12:44:03	7109824	6.780
1782564246	12:44:06	9651488	9.204
1782564249	12:44:09	11918480	11.366
1782564252	12:44:12	5334064	5.087
1782564255	12:44:15	6710384	6.400
1782564258	12:44:18	8062944	7.689
1782564261	12:44:21	8001168	7.631
1782564265	12:44:25	5800736	5.532
1782564268	12:44:28	5543168	5.286
1782564271	12:44:31	6618672	6.312
1782564274	12:44:34	5210368	4.969
1782564277	12:44:37	4455776	4.249
1782564280	12:44:40	5105168	4.869
1782564284	12:44:44	5256112	5.013
1782564287	12:44:47	4088160	3.899
1782564290	12:44:50	5436624	5.185
1782564293	12:44:53	5512208	5.257
1782564296	12:44:56	4764848	4.544
1782564299	12:44:59	6416272	6.119
1782564302	12:45:02	3605552	3.439
1782564305	12:45:05	7128496	6.798
1782564308	12:45:08	3297824	3.145
1782564311	12:45:11	4700528	4.483
1782564314	12:45:14	7070928	6.743
1782564317	12:45:17	7598416	7.246
1782564320	12:45:20	3972352	3.788
1782564323	12:45:23	13127504	12.519
1782564326	12:45:26	9471312	9.033
1782564330	12:45:30	7971616	7.602
1782564333	12:45:33	6828160	6.512
1782564338	12:45:38	8914464	8.501
1782564341	12:45:41	10104256	9.636
1782564345	12:45:45	5405952	5.156
1782564348	12:45:48	6809824	6.494
1782564351	12:45:51	3817216	3.640
1782564354	12:45:54	14065920	13.414
1782564358	12:45:58	5860416	5.589
1782564361	12:46:01	8619808	8.220
1782564364	12:46:04	9756608	9.305
1782564367	12:46:07	11844416	11.296
1782564370	12:46:10	13456688	12.833
1782564373	12:46:13	6190928	5.904
1782564376	12:46:16	7732128	7.374
1782564379	12:46:19	12404560	11.830
1782564382	12:46:22	7019424	6.694
1782564385	12:46:25	9602912	9.158
1782564388	12:46:28	16470064	15.707
1782564392	12:46:32	12397216	11.823
1782564395	12:46:35	9127552	8.705
1782564398	12:46:38	7777776	7.417
1782564401	12:46:41	8359504	7.972
1782564405	12:46:45	9063520	8.644
1782564408	12:46:48	4544832	4.334
1782564411	12:46:51	4561728	4.350
1782564414	12:46:54	4518272	4.309
1782564418	12:46:58	4566096	4.355
1782564421	12:47:01	4617168	4.403
1782564424	12:47:04	4390720	4.187
1782564428	12:47:08	4560272	4.349
1782564431	12:47:11	4741568	4.522
1782564434	12:47:14	4826544	4.603
1782564437	12:47:17	4809920	4.587
1782564440	12:47:20	6005792	5.728
1782564444	12:47:24	4033760	3.847
1782564447	12:47:27	4414896	4.210
1782564450	12:47:30	4893504	4.667
1782564453	12:47:33	4949184	4.720
1782564457	12:47:37	5207536	4.966
1782564460	12:47:40	5049936	4.816
1782564463	12:47:43	3071664	2.929
1782564466	12:47:46	3695920	3.525
1782564469	12:47:49	3288896	3.137
1782564472	12:47:52	4516784	4.308
1782564475	12:47:55	2301568	2.195
1782564478	12:47:58	6110304	5.827
1782564481	12:48:01	7624960	7.272
1782564484	12:48:04	3343840	3.189
1782564487	12:48:07	5920992	5.647
1782564490	12:48:10	5875168	5.603
1782564493	12:48:13	8442432	8.051
1782564497	12:48:17	11829520	11.282
1782564500	12:48:20	9619040	9.173
1782564503	12:48:23	11794816	11.248
1782564506	12:48:26	10534512	10.046
1782564509	12:48:29	6895792	6.576
1782564513	12:48:33	4378736	4.176
1782564516	12:48:36	10882304	10.378
1782564519	12:48:39	4861632	4.636
1782564523	12:48:43	6909152	6.589
1782564527	12:48:47	4936752	4.708
1782564530	12:48:50	6790272	6.476
1782564533	12:48:53	8194400	7.815
1782564536	12:48:56	6052336	5.772
1782564539	12:48:59	6469200	6.170
1782564544	12:49:04	6934288	6.613
1782564547	12:49:07	4576608	4.365
1782564550	12:49:10	5910832	5.637
1782564553	12:49:13	9685568	9.237
1782564556	12:49:16	11871824	11.322
1782564560	12:49:20	13311024	12.694
1782564563	12:49:23	4706288	4.488
1782564566	12:49:26	6378336	6.083
1782564569	12:49:29	6857872	6.540
1782564572	12:49:32	12931696	12.333
1782564575	12:49:35	9787600	9.334
1782564578	12:49:38	11368656	10.842
1782564581	12:49:41	13673920	13.040
1782564584	12:49:44	10040160	9.575
1782564587	12:49:47	11831344	11.283
1782564590	12:49:50	12185664	11.621
1782564594	12:49:54	12354528	11.782
1782564597	12:49:57	12578336	11.996
1782564600	12:50:00	12017072	11.460
1782564603	12:50:03	4877216	4.651
1782564606	12:50:06	5189088	4.949
1782564610	12:50:10	5353312	5.105
1782564613	12:50:13	5096864	4.861
1782564616	12:50:16	5363056	5.115
1782564619	12:50:19	5252256	5.009
1782564622	12:50:22	4648496	4.433
1782564625	12:50:25	4898640	4.672
1782564629	12:50:29	5832800	5.563
1782564632	12:50:32	6805552	6.490
1782564635	12:50:35	7675520	7.320
1782564639	12:50:39	6174496	5.888
1782564642	12:50:42	5082080	4.847
1782564645	12:50:45	5226064	4.984
1782564648	12:50:48	5436400	5.185
1782564651	12:50:51	4943408	4.714
1782564654	12:50:54	5045584	4.812
1782564657	12:50:57	3730624	3.558
1782564660	12:51:00	6781616	6.467
1782564663	12:51:03	6968080	6.645
1782564666	12:51:06	4347744	4.146
1782564670	12:51:10	4275920	4.078
1782564673	12:51:13	7827152	7.465
1782564676	12:51:16	5522720	5.267
1782564679	12:51:19	7660784	7.306
1782564682	12:51:22	3875104	3.696
1782564685	12:51:25	8514976	8.121
1782564688	12:51:28	6940368	6.619
1782564691	12:51:31	7430000	7.086
1782564694	12:51:34	6907216	6.587
1782564698	12:51:38	4904688	4.677
1782564702	12:51:42	4622848	4.409
1782564705	12:51:45	11841472	11.293
1782564708	12:51:48	9972880	9.511
1782564711	12:51:51	12327904	11.757
1782564714	12:51:54	9844672	9.389
1782564717	12:51:57	12866928	12.271
1782564720	12:52:00	15148480	14.447
1782564723	12:52:03	9627024	9.181
1782564727	12:52:07	9265504	8.836
1782564730	12:52:10	5212656	4.971
1782564733	12:52:13	12006432	11.450
1782564736	12:52:16	10181712	9.710
1782564739	12:52:19	3531744	3.368
1782564742	12:52:22	4707312	4.489
1782564746	12:52:26	8236272	7.855
1782564749	12:52:29	10574512	10.085
1782564752	12:52:32	11762704	11.218
1782564755	12:52:35	10669520	10.175
1782564758	12:52:38	11261248	10.740
1782564761	12:52:41	14728656	14.046
1782564764	12:52:44	14728944	14.047
1782564768	12:52:48	14728944	14.047
1782564771	12:52:51	14728944	14.047
1782564774	12:52:54	14915248	14.224
1782564777	12:52:57	5302416	5.057
1782564780	12:53:00	5242064	4.999
1782564784	12:53:04	6405072	6.108
1782564787	12:53:07	5086624	4.851
1782564790	12:53:10	5050368	4.816
1782564793	12:53:13	5334352	5.087
1782564796	12:53:16	4779712	4.558
1782564799	12:53:19	6794288	6.480
1782564802	12:53:22	4701440	4.484
1782564806	12:53:26	4868512	4.643
1782564809	12:53:29	5432160	5.181
1782564812	12:53:32	5173728	4.934
1782564815	12:53:35	6308272	6.016
1782564818	12:53:38	7505280	7.158
1782564821	12:53:41	8712304	8.309
1782564824	12:53:44	10953424	10.446
1782564828	12:53:48	4930656	4.702
1782564831	12:53:51	5507184	5.252
1782564834	12:53:54	5663744	5.401
1782564837	12:53:57	5090560	4.855
1782564840	12:54:00	5088288	4.853
1782564843	12:54:03	6471760	6.172
1782564846	12:54:06	5382208	5.133
1782564849	12:54:09	3909904	3.729
1782564852	12:54:12	6858112	6.540
1782564855	12:54:15	6838720	6.522
1782564858	12:54:18	7750848	7.392
1782564862	12:54:22	3637456	3.469
1782564865	12:54:25	5140384	4.902
1782564868	12:54:28	4433936	4.229
1782564871	12:54:31	7039232	6.713
1782564874	12:54:34	5628368	5.368
1782564878	12:54:38	6869408	6.551
1782564882	12:54:42	5083168	4.848
1782564885	12:54:45	11729872	11.186
1782564888	12:54:48	10363936	9.884
1782564891	12:54:51	4148016	3.956
1782564894	12:54:54	7572832	7.222
1782564897	12:54:57	8157680	7.780
1782564900	12:55:00	8931904	8.518
1782564904	12:55:04	15639072	14.915
1782564907	12:55:07	9831504	9.376
1782564910	12:55:10	6725312	6.414
1782564913	12:55:13	7281600	6.944
1782564917	12:55:17	4807040	4.584
1782564920	12:55:20	5322944	5.076
1782564923	12:55:23	8221056	7.840
1782564927	12:55:27	4844816	4.620
1782564930	12:55:30	4693424	4.476
1782564933	12:55:33	11245728	10.725
1782564936	12:55:36	11943568	11.390
1782564939	12:55:39	14474080	13.804
1782564942	12:55:42	14474416	13.804
1782564945	12:55:45	15604256	14.881
1782564948	12:55:48	7627056	7.274
1782564951	12:55:51	6365344	6.070
1782564955	12:55:55	5442192	5.190
1782564958	12:55:58	6473360	6.173
1782564961	12:56:01	6245072	5.956
1782564964	12:56:04	8904016	8.492
1782564967	12:56:07	3453472	3.293
1782564970	12:56:10	7568128	7.218
1782564973	12:56:13	6629312	6.322
1782564977	12:56:17	9240624	8.813
1782564980	12:56:20	5329552	5.083
1782564984	12:56:24	6867392	6.549
1782564987	12:56:27	8053952	7.681
1782564990	12:56:30	9424912	8.988
1782564993	12:56:33	4735488	4.516
1782564997	12:56:37	4645904	4.431
1782565000	12:56:40	4594976	4.382
1782565003	12:56:43	4888704	4.662
1782565006	12:56:46	4856304	4.631
1782565009	12:56:49	5732736	5.467
1782565012	12:56:52	7485152	7.138
1782565015	12:56:55	7207072	6.873
1782565018	12:56:58	3948000	3.765
1782565021	12:57:01	5423408	5.172
1782565025	12:57:05	6493648	6.193
1782565028	12:57:08	5625936	5.365
1782565031	12:57:11	8790480	8.383
1782565034	12:57:14	7292528	6.955
1782565037	12:57:17	4619392	4.405
1782565040	12:57:20	11254256	10.733
1782565043	12:57:23	13102272	12.495
1782565046	12:57:26	7480480	7.134
1782565049	12:57:29	8108160	7.733
1782565052	12:57:32	9962912	9.501
1782565056	12:57:36	15536848	14.817
1782565059	12:57:39	10245856	9.771
1782565062	12:57:42	8180928	7.802
1782565065	12:57:45	4791040	4.569
1782565069	12:57:49	5639952	5.379
1782565072	12:57:52	5837504	5.567
1782565075	12:57:55	8885488	8.474
1782565079	12:57:59	5489824	5.236
1782565082	12:58:02	11590480	11.054
1782565085	12:58:05	11023424	10.513
1782565088	12:58:08	12388064	11.814
1782565091	12:58:11	5959456	5.683
1782565094	12:58:14	6716640	6.405
1782565097	12:58:17	12509760	11.930
1782565100	12:58:20	11223648	10.704
1782565103	12:58:23	12065296	11.506
1782565106	12:58:26	10662432	10.168
1782565109	12:58:29	13609632	12.979
1782565112	12:58:32	10412960	9.931
1782565116	12:58:36	6048944	5.769
1782565119	12:58:39	7596336	7.244
1782565122	12:58:42	9120784	8.698
1782565125	12:58:45	7970992	7.602
1782565129	12:58:49	4779312	4.558
1782565132	12:58:52	5214752	4.973
1782565135	12:58:55	3012032	2.872
1782565138	12:58:58	3688864	3.518
1782565141	12:59:01	6490304	6.190
1782565144	12:59:04	9361824	8.928
1782565148	12:59:08	4758400	4.538
1782565151	12:59:11	4556080	4.345
1782565154	12:59:14	5335824	5.089
1782565157	12:59:17	3648960	3.480
1782565160	12:59:20	4117920	3.927
1782565163	12:59:23	4242752	4.046
1782565167	12:59:27	4113056	3.923
1782565170	12:59:30	5916464	5.642
1782565173	12:59:33	4981296	4.751
1782565176	12:59:36	4595136	4.382
1782565180	12:59:40	4319920	4.120
1782565183	12:59:43	4952768	4.723
1782565186	12:59:46	9084960	8.664
1782565189	12:59:49	10006528	9.543
1782565193	12:59:53	11739936	11.196
1782565196	12:59:56	10198608	9.726
1782565199	12:59:59	6417984	6.121
1782565202	13:00:02	7883328	7.518
1782565205	13:00:05	11237888	10.717
1782565208	13:00:08	14616224	13.939
1782565211	13:00:11	13045744	12.441
1782565214	13:00:14	6243648	5.954
1782565217	13:00:17	7324608	6.985
1782565221	13:00:21	8616432	8.217
1782565224	13:00:24	9801648	9.348
1782565227	13:00:27	6143008	5.858
1782565231	13:00:31	4547328	4.337
1782565234	13:00:34	4709296	4.491
1782565237	13:00:37	5076704	4.842
1782565241	13:00:41	5167424	4.928
1782565244	13:00:44	5555440	5.298
1782565247	13:00:47	4988336	4.757
1782565250	13:00:50	7297216	6.959
1782565253	13:00:53	8716864	8.313
1782565256	13:00:56	3958224	3.775
1782565259	13:00:59	12346160	11.774
1782565263	13:01:03	13437744	12.815
1782565266	13:01:06	13579296	12.950
1782565269	13:01:09	13579312	12.950
1782565272	13:01:12	13566208	12.938
1782565275	13:01:15	13736336	13.100
1782565279	13:01:19	12206128	11.641
1782565282	13:01:22	4932016	4.704
1782565285	13:01:25	3607824	3.441
1782565289	13:01:29	11513888	10.980
1782565293	13:01:33	4562736	4.351
1782565296	13:01:36	8836528	8.427
1782565299	13:01:39	8950784	8.536
1782565302	13:01:42	10861504	10.358
